time,rmse,nees,error
1768960499.5366771,1.5765103895140353e-12,4.0386484307132656e-24,6.355039731185419e-13
1768960499.5396614,1.5736250129439882e-12,4.0392869365906976e-24,6.3555420862503e-13
1768960499.541086,1.5707595758600548e-12,4.039868936742506e-24,6.355999951024423e-13
1768960499.5421064,1.5707595758600548e-12,4.039868936742506e-24,6.356500711857689e-13
1768960499.5439303,1.5679138667355734e-12,4.040505512335543e-24,6.356985893643659e-13
1768960499.5462787,1.5622807740984882e-12,4.041810279283873e-24,6.357526980115079e-13
1768960499.5476918,1.5594929759684404e-12,4.042479949951304e-24,6.358053646883669e-13
1768960499.5490243,1.5594929759684404e-12,4.042479949951304e-24,6.358535085335994e-13
1768960499.550811,1.5567240585970868e-12,4.043092158782023e-24,6.359058491909083e-13
1768960499.5524468,1.5539738261864964e-12,4.0437577892713824e-24,6.359565010532096e-13
1768960499.5548794,1.5512420757078394e-12,4.04440199453775e-24,6.360126299056547e-13
1768960499.5583117,1.548528619489786e-12,4.045115919425989e-24,6.360671940641644e-13
1768960499.5604122,1.5431557994562999e-12,4.046444625887725e-24,6.361170799419767e-13
1768960499.561941,1.5404960545879093e-12,4.047130889908184e-24,6.361710206176529e-13
1768960499.5638,1.5378538369346309e-12,4.0477937086601825e-24,6.362231141860477e-13
1768960499.5664556,1.5352289724801133e-12,4.048524647016329e-24,6.362805564722972e-13
1768960499.5679111,1.5326212777663233e-12,4.048524647016329e-24,6.363362940750728e-13
1768960499.5700505,1.5300305666262463e-12,4.049881642562738e-24,6.363871851773792e-13
1768960499.571925,1.5274566703581984e-12,4.049881642562738e-24,6.364419907159379e-13
1768960499.5739212,1.524899412717278e-12,4.050579206620807e-24,6.36494802419444e-13
1768960499.576764,1.5223586321387038e-12,4.051990421997266e-24,6.365528512649565e-13
1768960499.5781956,1.5198341575302078e-12,4.052706384406888e-24,6.366090875738117e-13
1768960499.5822556,1.5173258148852322e-12,4.05335903169037e-24,6.36660346487809e-13
1768960499.5829737,1.5148334472994703e-12,4.05406012765315e-24,6.367154058705633e-13
1768960499.5843842,1.5123568902021933e-12,4.05406012765315e-24,6.367683447219291e-13
1768960499.5861816,1.5098959934026978e-12,4.0547342784823516e-24,6.36826423654097e-13
1768960499.5877056,1.5074505970929314e-12,4.0554739517958265e-24,6.368825822722783e-13
1768960499.5907464,1.5050205383625996e-12,4.05683946058089e-24,6.369336292867004e-13
1768960499.5917747,1.5026056710837945e-12,4.057536784077193e-24,6.36988368932809e-13
1768960499.5943298,1.5002058413793518e-12,4.0582057737437795e-24,6.370408800141737e-13
1768960499.5967987,1.4978209094754287e-12,4.0589393047057636e-24,6.370984520473001e-13
1768960499.5979762,1.4954507259186498e-12,4.0596473634149884e-24,6.371540199709618e-13
