time,rmse,nees,error
1768963277.7538443,2.008898667850295e-12,4.216085352968573e-24,6.49319597094392e-13
1768963277.756193,2.008898667850295e-12,4.216085352968573e-24,6.49291809468819e-13
1768963277.7592132,2.007102413232561e-12,4.21572423733989e-24,6.493552213957485e-13
1768963277.804668,2.0035265114571503e-12,4.214179836142889e-24,6.491730119324575e-13
1768963277.808043,2.0017467886975182e-12,4.214597090703458e-24,6.492051697982278e-13
1768963277.811199,1.9999724536729758e-12,4.2128526709246136e-24,6.490708343073985e-13
1768963277.8161185,1.998203603885586e-12,4.213626344459664e-24,6.491304518774449e-13
1768963277.8180194,1.9964401560628114e-12,4.213626344459664e-24,6.491026891578509e-13
1768963277.821434,1.9946821116053785e-12,4.213477665017395e-24,6.491190513932079e-13
1768963277.8250422,1.9929292973613654e-12,4.2107199696528075e-24,6.489066258337287e-13
1768963277.8276625,1.9911818201184565e-12,4.2107199696528075e-24,6.489021449053534e-13
1768963277.8308182,1.989439587219227e-12,4.210661548990983e-24,6.487937945307676e-13
1768963277.8343997,1.9877025816220202e-12,4.2080306120767885e-24,6.486994285610904e-13
1768963277.837586,1.9859708418211087e-12,4.20811637543124e-24,6.487060596945776e-13
1768963277.8415232,1.9842443018404725e-12,4.207383637207389e-24,6.486495999018918e-13
1768963277.8455434,1.9825229658650358e-12,4.20725793017358e-24,6.486399303782538e-13
1768963277.8478935,1.9825229658650358e-12,4.20725793017358e-24,6.485309852690133e-13
1768963277.8513646,1.980806745434103e-12,4.205844485060135e-24,6.484398243647302e-13
1768963277.8547707,1.979095626740771e-12,4.204661909671742e-24,6.484528756330134e-13
1768963277.8581228,1.9773896508075005e-12,4.204830899842e-24,6.484058732830962e-13
1768963277.861709,1.973992944804575e-12,4.2042520056920746e-24,6.4840827793905e-13
1768963277.865499,1.9723021356751426e-12,4.203030859195187e-24,6.483141249771854e-13
1768963277.8679457,1.9706163157893445e-12,4.203030859195187e-24,6.482402643078301e-13
1768963277.9080353,1.9706163157893445e-12,4.2020729665451695e-24,6.484179327125672e-13
1768963277.9119184,1.9672598932237354e-12,4.204025868466979e-24,6.483910785555394e-13
1768963277.9158132,1.965589184563766e-12,4.205144230034272e-24,6.484773364312427e-13
1768963277.919022,1.965589184563766e-12,4.205144230034272e-24,6.485101517827452e-13
1768963277.922831,1.9639234358337876e-12,4.205569565230644e-24,6.485996975518871e-13
1768963277.9265528,1.960606845824557e-12,4.208218674183297e-24,6.487143998617897e-13
1768963277.9302154,1.960606845824557e-12,4.208218674183297e-24,6.487402733918862e-13
1768963277.9341397,1.958955917466101e-12,4.208553955988957e-24,6.486997114526565e-13
1768963277.9380178,1.9556685923486317e-12,4.2094698342337274e-24,6.488108903614247e-13
1768963277.9414468,1.9556685923486317e-12,4.2094698342337274e-24,6.487830125476227e-13
1768963277.9449186,1.954032157543005e-12,4.2091078329351666e-24,6.487959152593611e-13
1768963277.9488537,1.9507735547716845e-12,4.2081001804930914e-24,6.48705390472433e-13
1768963277.952539,1.9491513480994172e-12,4.208397366216023e-24,6.487283064964315e-13
1768963277.956129,1.9491513480994172e-12,4.208397366216023e-24,6.486839197371904e-13
1768963277.9598594,1.947533823183352e-12,4.20782123085194e-24,6.486887349255251e-13
1768963277.9636817,1.945920988511009e-12,4.207883432492842e-24,6.486798987012855e-13
1768963277.9673822,1.9443128136094893e-12,4.207768666837992e-24,6.487595557454069e-13
1768963277.97159,1.942709331465012e-12,4.208801879072806e-24,6.488772281043174e-13
1768963277.9757192,1.9411105437512643e-12,4.2103286762006046e-24,6.489193707406064e-13
1768963278.0116692,1.939516381972502e-12,4.210875184494991e-24,6.48033592259732e-13
1768963278.0160344,1.9379262517147065e-12,4.199385112621244e-24,6.478425704503374e-13
1768963278.0197809,1.9363405619595446e-12,4.196909349312625e-24,6.47648375268427e-13
1768963278.0237257,1.9331823975545126e-12,4.194393211791709e-24,6.474254805090263e-13
1768963278.0275812,1.9316100314413925e-12,4.1915060642314135e-24,6.474750184636308e-13
1768963278.031197,1.9300420330068895e-12,4.1921471049738256e-24,6.472998465415591e-13
1768963278.0348146,1.928478316438773e-12,4.186225456302458e-24,6.470176227948974e-13
1768963278.0381625,1.926919032077083e-12,4.186225456302458e-24,6.470137875386181e-13
1768963278.0411253,1.926919032077083e-12,4.1861755650969184e-24,6.468377069996529e-13
1768963278.0447645,1.9253640543414123e-12,4.183896982179008e-24,6.465004562965148e-13
1768963278.0475173,1.923813265046897e-12,4.179534722917e-24,6.462532971824755e-13
1768963278.0508265,1.922266699686108e-12,4.176339222545642e-24,6.460143393237327e-13
1768963278.0538974,1.9191861914217164e-12,4.17325090375228e-24,6.457975187608967e-13
1768963278.0572965,1.9191861914217164e-12,4.1704496401261e-24,6.456094292673688e-13
1768963278.0600328,1.9176522407462086e-12,4.1680202812904675e-24,6.454516132853401e-13
1768963278.0637538,1.9161224908694305e-12,4.165982413878166e-24,6.453232947470552e-13
1768963278.1143553,1.913076116849786e-12,4.164325735071961e-24,6.460983988630272e-13
1768963278.119003,1.913076116849786e-12,4.174334795965412e-24,6.432489715898889e-13
1768963278.1237466,1.9115578119000206e-12,4.137596836144458e-24,6.472475595785579e-13
1768963278.1282659,1.908539290268855e-12,4.20250590871715e-24,6.482749996477979e-13
1768963278.1324453,1.908539290268855e-12,4.20250590871715e-24,6.492066479055059e-13
1768963278.1379428,1.9070371814821636e-12,4.214593006069094e-24,6.499330727185701e-13
1768963278.1422677,1.9055396708309227e-12,4.224029469407265e-24,6.507402549964578e-13
1768963278.1469631,1.904046787808602e-12,4.23452743429837e-24,6.514173012907969e-13
1768963278.1516125,1.902558434195266e-12,4.2433428400699696e-24,6.518853744979198e-13
1768963278.1561775,1.899594923264334e-12,4.25693319726707e-24,6.524597215220729e-13
1768963278.1605127,1.898119387024027e-12,4.255686906118258e-24,6.523642375542592e-13
1768963278.1644056,1.896647868780619e-12,4.255686906118258e-24,6.523203248349599e-13
1768963278.1682575,1.895180677852838e-12,4.2616084077821554e-24,6.528180186367718e-13
1768963278.1719358,1.895180677852838e-12,4.2616084077821554e-24,6.534317293320959e-13
1768963278.1761785,1.893717865869328e-12,4.269624202705097e-24,6.539315638977905e-13
1768963278.179984,1.8922593455768907e-12,4.276158090582637e-24,6.538248839849539e-13
1768963278.1843305,1.8908047325388957e-12,4.274762586984771e-24,6.540792940697155e-13
1768963278.220215,1.8893542271901095e-12,4.278089339121641e-24,6.537368756119434e-13
1768963278.2241836,1.887907452177346e-12,4.273609368796369e-24,6.53683353539796e-13
1768963278.2285402,1.8864645646957096e-12,4.272909203808759e-24,6.540458145729486e-13
1768963278.232923,1.8850257977385247e-12,4.277648485058665e-24,6.54541658520635e-13
1768963278.2372286,1.8821605976167756e-12,4.2841362617572575e-24,6.547080140475479e-13
1768963278.2414389,1.8821605976167756e-12,4.2863137889669025e-24,6.551032350119149e-13
1768963278.2458622,1.8793114565588443e-12,4.2932908127373124e-24,6.552407390565868e-13
1768963278.2497625,1.8793114565588443e-12,4.2932908127373124e-24,6.554598453099408e-13
1768963278.2539608,1.8778927918799478e-12,4.296161766703161e-24,6.55348562188431e-13
1768963278.2582624,1.8764778602726462e-12,4.294702485294767e-24,6.553843050617747e-13
1768963278.2625568,1.875066733479917e-12,4.295170354108259e-24,6.552850595096426e-13
1768963278.2669933,1.87365931438396e-12,4.293869184494116e-24,6.552527139184776e-13
1768963278.271617,1.8708554536759896e-12,4.2934448709402414e-24,6.548831256668804e-13
1768963278.276199,1.8694588114893732e-12,4.284466067009187e-24,6.545672467485306e-13
1768963278.280434,1.8680659179496095e-12,4.285457947394162e-24,6.546430570958751e-13
1768963278.323334,1.8680659179496095e-12,4.285457947394162e-24,6.537052511423802e-13
1768963278.3281596,1.8652891484259746e-12,4.252983647300187e-24,6.521579945299751e-13
1768963278.332903,1.8652891484259746e-12,4.252983647300187e-24,6.506956604008723e-13
1768963278.3375409,1.8639049375112964e-12,4.2339323653903875e-24,6.493698367779757e-13
1768963278.3417428,1.8611451619273867e-12,4.200910049364254e-24,6.481531247771141e-13
1768963278.3471148,1.8597696683309687e-12,4.18583667102087e-24,6.469892373697586e-13
1768963278.3508275,1.858397148055604e-12,4.1718930216424975e-24,6.459107144240456e-13
1768963278.3542528,1.858397148055604e-12,4.1718930216424975e-24,6.5416064119989e-13
1768963278.357928,1.8570330537056855e-12,4.279138893156154e-24,6.541831799990966e-13
